carat,cut,color,clarity,depth,table,price
"(-1.613, -0.536]",2.0,1.0,3.0,61.5,4.007333185232471,326.0
"(-1.613, -0.536]",3.0,1.0,2.0,59.8,4.110873864173311,326.0
"(-1.613, -0.536]",1.0,1.0,4.0,56.9,4.174387269895637,327.0
"(-1.613, -0.536]",3.0,5.0,5.0,62.4,4.060443010546419,334.0
"(-1.613, -0.536]",1.0,6.0,3.0,63.3,4.060443010546419,335.0
"(-1.613, -0.536]",4.0,6.0,7.0,62.8,4.04305126783455,336.0
"(-1.613, -0.536]",4.0,5.0,6.0,62.3,4.04305126783455,336.0
"(-1.613, -0.536]",4.0,4.0,2.0,61.9,4.007333185232471,337.0
"(-1.613, -0.536]",0.0,1.0,5.0,65.1,4.110873864173311,337.0
"(-1.613, -0.536]",4.0,4.0,4.0,59.4,4.110873864173311,338.0
"(-1.613, -0.536]",1.0,6.0,2.0,64.0,4.007333185232471,339.0
"(-1.613, -0.536]",2.0,6.0,4.0,62.8,4.02535169073515,340.0
"(-1.613, -0.536]",3.0,2.0,2.0,60.4,4.110873864173311,342.0
"(-1.613, -0.536]",2.0,6.0,3.0,62.2,3.9889840465642745,344.0
"(-1.613, -0.536]",3.0,1.0,3.0,60.2,4.127134385045092,345.0
"(-1.613, -0.536]",3.0,1.0,0.0,60.9,4.060443010546419,345.0
"(-1.613, -0.536]",2.0,5.0,3.0,62.0,3.9889840465642745,348.0
"(-1.613, -0.536]",1.0,6.0,2.0,63.4,3.9889840465642745,351.0
"(-1.613, -0.536]",1.0,6.0,2.0,63.8,4.02535169073515,351.0
"(-1.613, -0.536]",4.0,6.0,2.0,62.7,4.07753744390572,351.0
"(-1.613, -0.536]",1.0,5.0,3.0,63.3,4.02535169073515,351.0
"(-1.613, -0.536]",4.0,1.0,5.0,63.8,4.007333185232471,352.0
"(-1.613, -0.536]",4.0,4.0,4.0,61.0,4.04305126783455,353.0
"(-1.613, -0.536]",4.0,6.0,2.0,59.4,4.127134385045092,353.0
"(-1.613, -0.536]",4.0,6.0,2.0,58.1,4.127134385045092,353.0
"(-1.613, -0.536]",4.0,3.0,7.0,60.4,4.060443010546419,354.0
"(-1.613, -0.536]",3.0,5.0,4.0,62.5,4.04305126783455,355.0
"(-1.613, -0.536]",4.0,6.0,5.0,62.2,4.04305126783455,357.0
"(-1.613, -0.536]",4.0,0.0,5.0,60.5,4.110873864173311,357.0
"(-1.613, -0.536]",4.0,2.0,4.0,60.9,4.04305126783455,357.0
"(-1.613, -0.536]",4.0,2.0,4.0,60.0,4.04305126783455,402.0
"(-1.613, -0.536]",4.0,2.0,4.0,59.8,4.04305126783455,402.0
"(-1.613, -0.536]",4.0,1.0,4.0,60.7,4.07753744390572,402.0
"(-1.613, -0.536]",4.0,1.0,4.0,59.5,4.060443010546419,402.0
"(-1.613, -0.536]",4.0,0.0,4.0,61.9,4.060443010546419,402.0
"(-1.613, -0.536]",1.0,2.0,4.0,58.2,4.07753744390572,402.0
"(-1.613, -0.536]",1.0,1.0,4.0,64.1,4.07753744390572,402.0
"(-1.613, -0.536]",1.0,4.0,2.0,64.0,3.9889840465642745,402.0
